Filename,MethodName,LineNumber,Length,Parameters,IfDepth,CyclomaticComplexity,Toxicity
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Driver\Rick.SQL.Tests.Driver.ProviderReuse.pas,TRickSQLControlledProvider.CreateDriverLink,86,2,1,0,1,0,108
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Facade\Rick.SQL.Tests.Fluent.Lifecycle.pas,TRickSQLFluentLifecycleTests.CheckSuccess,113,2,1,0,1,0,108
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Error\Rick.SQL.Tests.Error.Integration.pas,TRickSQLErrorIntegrationTests.Session_InvalidContext_UsesSharedNormalization,211,5,0,0,1,0,104
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Error\Rick.SQL.Tests.Error.Integration.pas,TRickSQLErrorIntegrationTests.ClientLibraryResolver_SanitizesPublicErrorSurfaces,281,5,0,0,1,0,104
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.Active_FalhaDeInspecao_DevePreservarContratoFalse,227,5,0,0,1,0,104
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.Start_FalhaAoConsultarEstado_NaoDeveRetornarSucesso,259,5,0,0,1,0,104
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.Start_FalhaNaInspecaoAposInicio_DeveReportarErro,272,5,0,0,1,0,104
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.RollbackAfterFailure_TransacaoInativa_DevePreservarErroPrimario,430,5,0,0,1,0,104
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\ClientLibrary\Rick.SQL.Tests.ClientLibrary.VendorLibrary.pas,TRickSQLVendorLibraryTests.Canonical_MissingVendorLib_ReportsUnavailable,185,5,0,0,1,0,104
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Driver\Rick.SQL.Tests.Driver.ProviderReuse.pas,TRickSQLDriverProviderReuseTests.Factory_SQLite_ProviderAndDefinitionCorrespond,105,5,0,0,1,0,104
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Driver\Rick.SQL.Tests.Driver.ProviderReuse.pas,TRickSQLDriverProviderReuseTests.ClientLibraryResolver_ProvidedProvider_ObtainsDefinitionOnce,170,5,0,0,1,0,104
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Facade\Rick.SQL.Tests.Fluent.Lifecycle.pas,TRickSQLFluentLifecycleTests.EstadoInicial_OpenDeveUsarDefaultsDeMaterializacao,168,5,0,0,1,0,104
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Facade\Rick.SQL.Tests.Fluent.Lifecycle.pas,TRickSQLFluentLifecycleTests.Destructor_OwnerTrue_DeveLiberarDataSet,395,5,0,0,1,0,104
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.ArmActiveInspectionFailure,155,1,1,0,1,0,096
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.RaiseStartFailure,160,1,1,0,1,0,096
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.RaiseCommitFailure,165,1,1,0,1,0,096
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.RaiseRollbackFailure,170,1,1,0,1,0,096
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\ClientLibrary\Rick.SQL.Tests.ClientLibrary.VendorLibrary.pas,TRickSQLFailingDriverLink.SetVendorLib,142,1,1,0,1,0,096
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Error\Rick.SQL.Tests.Error.Normalizer.pas,TRickSQLErrorNormalizerTests.SQLiteException_PreservesDBMSCodeProvidedByFireDAC,216,4,0,0,1,0,092
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Infrastructure\Rick.SQL.Tests.FireDAC.WaitProvider.pas,TRickSQLFireDACWaitProviderTests.VCL_DeveRegistrarProviderDeEsperaDoFireDAC,24,4,0,0,1,0,092
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.Start_TransacaoAtiva_DevePreservarComportamentoAtual,238,4,0,0,1,0,092
C:\Projects\Language\Delphi\Middleware\RickSQL\NewTests\src\Transaction\Rick.SQL.Tests.Transaction.pas,TRickSQLTransactionTests.Commit_TransacaoAtiva_DeveFinalizar,295,4,0,0,1,0,092
