Filename,MethodName,LineNumber,Length,Parameters,IfDepth,CyclomaticComplexity,Toxicity
C:\Projects\Language\Delphi\Middleware\RickSQL\src\error\Rick.SQL.Error.Normalizer.pas,TRickSQLErrorNormalizer.FromException,180,5,4,1,2,0,362
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.ReadPEMachine,460,8,2,1,3,0,358
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.ResolveInternal,812,8,3,1,2,0,358
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.IsOraclePseudoRecord,480,8,1,1,4,0,358
C:\Projects\Language\Delphi\Middleware\RickSQL\src\Rick.SQL.Interf.pas,TRickSQLInterf.AddConnectionParameter,552,8,2,1,3,0,358
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.DataSet.Materializer.pas,TRickSQLCoreDataSetMaterializer.Materialize,94,11,2,1,2,0,354
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.ResolveStandard,723,7,2,1,3,0,346
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.TryStartDelimitedSyntax,754,7,1,1,4,0,346
C:\Projects\Language\Delphi\Middleware\RickSQL\src\model\Rick.SQL.Model.Connection.Options.pas,TRickSQLConnectionOptions.AddExtraParameter,66,7,2,1,3,0,346
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Parameter.Binder.pas,TRickSQLServiceFireDACParameterBinder.BindParameter,98,7,3,1,2,0,346
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Advantage.pas,TRickSQLServiceFireDACDriverAdvantage.ApplyConnectionOptions,62,7,2,1,3,0,346
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Firebird.pas,TRickSQLServiceFireDACDriverFirebird.ApplyConnectionOptions,55,7,2,1,3,0,346
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.InterBase.pas,TRickSQLServiceFireDACDriverInterBase.ApplyConnectionOptions,65,7,2,1,3,0,346
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.IsJSONObjectSeparator,509,10,1,1,3,0,342
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.TryTrackJSONObjectComma,560,10,1,1,3,0,342
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Query.pas,TRickSQLServiceFireDACQuery.Configure,79,10,2,1,2,0,342
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\drivers\Rick.SQL.Service.FireDAC.Driver.Base.pas,TRickSQLServiceFireDACDriverProvider.ApplyConnectionOptions,214,10,2,1,2,0,342
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Connection.Validator.pas,TRickSQLCoreConnectionValidator.ValidateClientLibraryPath,138,6,2,1,3,0,333
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Connection.Validator.pas,TRickSQLCoreConnectionValidator.ValidateExtraParameters,188,6,2,1,3,0,333
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterValidator.Validate,1231,6,2,1,3,0,333
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Transaction.pas,TRickSQLServiceFireDACTransaction.AppendRollbackDetail,282,6,2,1,3,0,333
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.FindInEnvironment,626,9,1,1,3,0,329
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.TryStartDollarQuote,714,9,1,1,3,0,329
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Connection.pas,TRickSQLServiceFireDACConnection.Configure,83,9,2,1,2,0,329
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Command.Executor.pas,TRickSQLCoreCommandExecutor.ExecuteWithSession,109,5,2,1,3,0,321
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Command.Validator.pas,TRickSQLCoreCommandValidator.ValidateOptions,68,5,2,1,3,0,321
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Connection.Validator.pas,TRickSQLCoreConnectionValidator.HasDuplicateExtraParameter,153,5,2,1,3,0,321
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.DataSet.Materializer.pas,TRickSQLCoreDataSetMaterializer.CopyField,293,5,3,1,2,0,321
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Driver.Context.Factory.pas,TRickSQLCoreDriverContextFactory.Create,49,5,3,1,2,0,321
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Open.Executor.pas,TRickSQLCoreOpenExecutor.MaterializeQuery,208,5,3,1,2,0,321
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,HasDuplicateParameter,1093,5,2,1,3,0,321
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Transaction.pas,TRickSQLServiceFireDACTransaction.TryActive,212,9,4,0,1,0,321
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.ClientLibrary.Resolver.pas,TRickSQLCoreClientLibraryResolver.FindByDriverDefault,659,8,1,1,3,0,317
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Command.Executor.pas,TRickSQLCoreCommandExecutor.Execute,89,8,1,1,3,0,317
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.DataSet.Materializer.pas,TRickSQLCoreDataSetMaterializer.CopyFieldProperties,171,8,2,1,2,0,317
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.DataSet.Materializer.pas,TRickSQLCoreDataSetMaterializer.CreateMemoryDataSet,185,8,2,1,2,0,317
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.TryStartComment,627,8,1,1,3,0,317
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.BeginDelimited,588,5,5,0,1,0,313
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Parameter.Validator.pas,TRickSQLCoreParameterScanner.Process,974,5,1,0,5,0,313
C:\Projects\Language\Delphi\Middleware\RickSQL\src\services\Rick.SQL.Service.FireDAC.Session.pas,TRickSQLServiceFireDACSession.Create,64,11,1,1,2,0,313
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Driver.Context.Factory.pas,TRickSQLCoreDriverContextFactory.ResolveProvider,80,4,3,1,2,0,308
C:\Projects\Language\Delphi\Middleware\RickSQL\src\core\Rick.SQL.Core.Driver.Context.Factory.pas,TRickSQLCoreDriverContextFactory.ResolveLibrary,91,4,3,1,2,0,308
